PlayerID,Condition,GameID,CurrentGame,Timestamp,CurrentPlayer,Action,ChipsRequested,ChipsRequestedPlayers,ExtraChips,NeededChips,Score,TimeRemaining

1553151197641,,2,0,1553152088888,0,Motivation: wewe,,P0:;P1:;P2:;P3:;P4:;P5:,4 4 4 4 4, ,25,02:50
1553151197641,,3,1,1553152088923,0,Starting new game. Result current game: Correct,1 1,P0:;P1:1,1;P2:;P3:;P4:;P5:,4 4 4 ,2 2 ,33,02:50

1553151197641,,3,1,1553152095640,0,Clear path,,P0:;P1:;P2:;P3:;P4:;P5:,4 4 4 2 2 , ,25,02:55
1553151197641,,3,1,1553152096531,0,Added cell 2-3-true,,P0:;P1:;P2:;P3:;P4:;P5:,4 4 4 2 , ,20,02:54
1553151197641,,3,1,1553152096899,0,Added cell 2-2-true,,P0:;P1:;P2:;P3:;P4:;P5:,4 4 4 , ,15,02:54
1553151197641,,3,1,1553152097332,0,Denied adding cell 2-1-false,,P0:;P1:;P2:;P3:;P4:;P5:,4 4 4 , ,15,02:53
1553151197641,,3,1,1553152272827,0,Time is up!,,P0:;P1:;P2:;P3:;P4:;P5:,4 4 4 , ,15,00:00
1553151197641,,1,2,1553152276987,0,Starting new game. Result current game: Incorrect,1 1 1,P0:;P1:1,1,1;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3,2 2 2 ,57,00:00


1553151197641,,1,0,1553152302332,0,Read new file,,P0:;P1:;P2:;P3:;P4:;P5:,-,-,NaN,undefined:undefined
1553151197641,,1,0,1553152303229,0,Tried to add own cell 2-4,1 1 1,P0:;P1:1,1,1;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3,2 2 2 ,107,undefined:undefined
1553151197641,,1,0,1553152305593,0,Tried to add own cell 2-4,1 1 1,P0:;P1:1,1,1;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3,2 2 2 ,107,02:58
1553151197641,,1,0,1553152306200,0,Tried to add own cell 2-4,1 1 1,P0:;P1:1,1,1;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3,2 2 2 ,107,02:58
1553151197641,,1,0,1553152306784,0,Tried to add own cell 2-4,1 1 1,P0:;P1:1,1,1;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3,2 2 2 ,107,02:57
1553151197641,,1,0,1553152307109,0,Tried to add own cell 2-4,1 1 1,P0:;P1:1,1,1;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3,2 2 2 ,107,02:57
1553151197641,,1,0,1553152307448,0,Tried to add own cell 2-4,1 1 1,P0:;P1:1,1,1;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3,2 2 2 ,107,02:56
1553151197641,,1,0,1553152309682,0,ChipRequest;From;1;Colour;5;ReqNrOfChips;1;Success;false,1 1 1,P0:;P1:1,1,1;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3,2 2 2 ,107,02:54
1553151197641,,1,0,1553152310431,0,ChipRequest;From;1;Colour;5;ReqNrOfChips;1;Success;false,1 1 1,P0:;P1:1,1,1;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3,2 2 2 ,107,02:53
1553151197641,,1,0,1553152310936,0,ChipRequest;From;1;Colour;5;ReqNrOfChips;1;Success;false,1 1 1,P0:;P1:1,1,1;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3,2 2 2 ,107,02:53
1553151197641,,1,0,1553152311319,0,ChipRequest;From;1;Colour;5;ReqNrOfChips;1;Success;false,1 1 1,P0:;P1:1,1,1;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3,2 2 2 ,107,02:53
1553151197641,,1,0,1553152311668,0,ChipRequest;From;1;Colour;5;ReqNrOfChips;1;Success;false,1 1 1,P0:;P1:1,1,1;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3,2 2 2 ,107,02:52
1553151197641,,1,0,1553152312017,0,ChipRequest;From;1;Colour;5;ReqNrOfChips;1;Success;false,1 1 1,P0:;P1:1,1,1;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3,2 2 2 ,107,02:52
1553151197641,,1,0,1553152312624,0,ChipRequest;From;1;Colour;5;ReqNrOfChips;1;Success;false,1 1 1,P0:;P1:1,1,1;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3,2 2 2 ,107,02:51
1553151197641,,1,0,1553152331074,0,Clear path,,P0:;P1:;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3 2 ,  ,50,02:33
1553151197641,,1,0,1553152332174,0,Added cell 2-0-true,,P0:;P1:;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3 , ,45,02:32
1553151197641,,1,0,1553152332624,0,Denied adding cell 2-1-false,,P0:;P1:;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3 , ,45,02:31
1553151197641,,1,0,1553152336380,0,Added cell 3-0-true,,P0:;P1:;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 , ,40,02:27
1553151197641,,1,0,1553152336763,0,Added cell 3-1-true,,P0:;P1:;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 , ,35,02:27
1553151197641,,1,0,1553152337123,0,Added cell 3-2-true,,P0:;P1:;P2:;P3:;P4:;P5:,3 3 3 3 3 3 , ,30,02:27
1553151197641,,1,0,1553152337471,0,Added cell 3-3-true,,P0:;P1:;P2:;P3:;P4:;P5:,3 3 3 3 3 , ,25,02:26
1553151197641,,1,0,1553152337809,0,Added cell 3-4-true,,P0:;P1:;P2:;P3:;P4:;P5:,3 3 3 3 , ,170,02:26
1553151197641,,1,0,1553152353045,1,Changed player,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2,3 ,59,02:11
1553151197641,,1,0,1553152360649,1,Clear path,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2 2 2 2 , ,50,02:03
1553151197641,,1,0,1553152362359,1,Added cell 2-0-true,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2 2 2 , ,45,02:02
1553151197641,,1,0,1553152362772,1,Added cell 2-1-true,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2 2 , ,40,02:01
1553151197641,,1,0,1553152363203,1,Added cell 2-2-true,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2 , ,35,02:01
1553151197641,,1,0,1553152364416,1,ChipRequest;From;0;Colour;3;ReqNrOfChips;1;Success;true,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2 , ,35,01:59
1553151197641,,1,0,1553152365490,1,Added cell 3-2-false,2,P0:2;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2 , 3 ,109,01:58
1553151197641,,1,0,1553152368100,1,Restore suggested path,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2,3 ,35,01:56
1553151197641,,1,0,1553152369793,1,Clear path,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2 2 2 2 , ,50,01:54
1553151197641,,1,0,1553152370497,1,Restore suggested path,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2,3 ,35,01:53
1553151197641,,1,0,1553152373766,1,Clear path,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2 2 2 2 , ,50,01:50
1553151197641,,1,0,1553152374449,1,Restore suggested path,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2,3 ,35,01:49
1553151197641,,1,0,1553152379739,1,ChipRequest;From;0;Colour;3;ReqNrOfChips;1;Success;true,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2,3 ,35,01:44
1553151197641,,1,0,1553152380920,1,Removed cell 3-2-false,2,P0:2;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2, ,-41,01:43
1553151197641,,1,0,1553152381358,1,Added cell 3-2-false,2,P0:2;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2, 3 ,115,01:43
1553151197641,,1,0,1553152384274,1,Clear path,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2 2 2 2 , ,50,01:40
1553151197641,,1,0,1553152384607,1,Restore suggested path,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2,3 ,35,01:39
1553151197641,,1,0,1553152386678,1,ChipRequest;From;0;Colour;3;ReqNrOfChips;1;Success;true,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2,3 ,35,01:37
1553151197641,,1,0,1553152483362,1,Time is up!,2,P0:2;P1:;P2:;P3:;P4:;P5:,2 2 2 2 2 2 2,3 ,109,00:00
1553151197641,,2,1,1553152483418,0,Starting new game. Result current game: Incorrect,1 1 1 1,P0:;P1:1,1;P2:1,1;P3:;P4:;P5:,4 4 4 4 4,2 2 2 2 ,11,00:00

1553151197641,,2,1,1553152628103,1,Changed player,1 1 1 1,P0:;P1:;P2:;P3:;P4:;P5:,2 2,,110,00:37
1553151197641,,2,1,1553152630843,1,Clear path,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 3 ,,25,00:34
1553151197641,,2,1,1553152631247,1,Restore suggested path,,P0:;P1:;P2:;P3:;P4:;P5:,2 2,,160,00:34
1553151197641,,2,1,1553152633197,1,Restore suggested path,,P0:;P1:;P2:;P3:;P4:;P5:,2 2,,160,00:32
1553151197641,,2,1,1553152634390,1,Removed cell 2-0-true,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 ,,15,00:31
1553151197641,,2,1,1553152634744,1,Removed cell 2-1-true,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 ,,20,00:30
1553151197641,,2,1,1553152635195,1,Removed cell 3-1-false,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 3 ,,25,00:30
1553151197641,,2,1,1553152635723,1,Added cell 3-1-true,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 2 ,,20,00:29
1553151197641,,2,1,1553152636199,1,Added cell 2-1-true,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 2 ,,15,00:29
1553151197641,,2,1,1553152636623,1,Added cell 2-0-true,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 ,,160,00:28
1553151197641,,2,1,1553152638464,2,Changed player,,P0:;P1:;P2:;P3:;P4:;P5:,3 2 2,,115,00:26
1553151197641,,2,1,1553152640687,2,Removed cell 2-0-true,,P0:;P1:;P2:;P3:;P4:;P5:,3 2 2 2 ,,-50,00:24
1553151197641,,2,1,1553152641090,2,Added cell 2-0-true,,P0:;P1:;P2:;P3:;P4:;P5:,3 2 2 ,,95,00:24
1553151197641,,2,1,1553152641799,2,Removed cell 2-0-true,,P0:;P1:;P2:;P3:;P4:;P5:,3 2 2 2 ,,-50,00:23
1553151197641,,2,1,1553152642138,2,Added cell 2-0-true,,P0:;P1:;P2:;P3:;P4:;P5:,3 2 2 ,,95,00:23
1553151197641,,2,1,1553152643707,1,Changed player,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 ,,160,00:21
1553151197641,,2,1,1553152647672,1,ChipRequest;From;0;Colour;9;ReqNrOfChips;1;Success;false,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 ,,160,00:17
1553151197641,,2,1,1553152664420,1,Time is up!,,P0:;P1:;P2:;P3:;P4:;P5:,2 2 ,,160,00:00
1553151197641,,3,2,1553152700937,0,Starting new game. Result current game: Incorrect,1 1,P0:;P1:1,1;P2:;P3:;P4:;P5:,4 4 4 ,2 2 ,83,00:00


1553151197641,,2,0,1553152724769,0,Read new file,,P0:;P1:;P2:;P3:;P4:;P5:,-,-,NaN,undefined:undefined
1553151197641,,2,0,1553152730623,1,Changed player,1 1 1 1,P0:;P1:;P2:;P3:;P4:;P5:,2 2,,110,02:56
1553151197641,,2,0,1553152733218,2,Changed player,1 1 1 1,P0:;P1:;P2:;P3:;P4:;P5:,3 2 2,,115,02:53
1553151197641,,2,0,1553152734496,1,Changed player,1 1 1 1,P0:;P1:;P2:;P3:;P4:;P5:,2 2,,110,02:52
1553151197641,,2,0,1553152736466,2,Changed player,1 1 1 1,P0:;P1:;P2:;P3:;P4:;P5:,3 2 2,,115,02:50
1553151197641,,2,0,1553152739166,2,Motivation: aaa,1 1 1 1,P0:;P1:;P2:;P3:;P4:;P5:,3 2 2,,115,02:47
1553151197641,,3,1,1553152739199,0,Starting new game. Result current game: Incorrect,1 1,P0:;P1:1,1;P2:;P3:;P4:;P5:,4 4 4 ,2 2 ,83,02:47

1553151197641,,3,1,1553152740597,2,Changed player,1 1,P0:;P1:;P2:;P3:;P4:;P5:,3 2 2,,115,03:00
1553151197641,,3,1,1553152741103,1,Changed player,1 1,P0:;P1:;P2:;P3:;P4:;P5:,2 2,,110,03:00
1553151197641,,3,1,1553152743296,2,Changed player,1 1,P0:;P1:;P2:;P3:;P4:;P5:,3 2 2,,115,02:57
1553151197641,,3,1,1553152745545,2,Motivation: bb,1 1,P0:;P1:;P2:;P3:;P4:;P5:,3 2 2,,115,02:55
1553151197641,,1,2,1553152745569,0,Starting new game. Result current game: Incorrect,1 1 1,P0:;P1:1,1,1;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3,2 2 2 ,107,02:55


1553151197641,,2,0,1553152814860,0,Read new file,,P0:;P1:;P2:;P3:;P4:;P5:,-,-,NaN,undefined:undefined
1553151197641,,2,0,1553152995905,0,Time is up!,1 1 1 1,P0:;P1:1,1;P2:1,1;P3:;P4:;P5:,4 4 4 4 4,2 2 2 2 ,11,00:00
1553151197641,,1,1,1553153016002,0,Starting new game. Result current game: Incorrect,1 1 1,P0:;P1:1,1,1;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3,2 2 2 ,107,00:00


1553151197641,,1,0,1553153185072,0,Read new file,,P0:;P1:;P2:;P3:;P4:;P5:,-,-,NaN,undefined:undefined
1553151197641,,1,0,1553153192809,0,Motivation: abc,1 1 1,P0:;P1:1,1,1;P2:;P3:;P4:;P5:,3 3 3 3 3 3 3 3 3,2 2 2 ,107,02:54
1553151197641,,2,1,1553153192843,0,Starting new game. Result current game: Incorrect,1 1 1 1,P0:;P1:1,1;P2:1,1;P3:;P4:;P5:,4 4 4 4 4,2 2 2 2 ,11,02:54

1553151197641,,2,1,1553153196790,0,Restore suggested path,1 1 1 1,P0:;P1:1,1;P2:1,1;P3:;P4:;P5:,4 4 4 4 4,2 2 2 2 ,11,02:58
1553151197641,,2,1,1553153197282,0,Restore suggested path,1 1 1 1,P0:;P1:1,1;P2:1,1;P3:;P4:;P5:,4 4 4 4 4,2 2 2 2 ,11,02:57
1553151197641,,2,1,1553153197462,0,Restore suggested path,1 1 1 1,P0:;P1:1,1;P2:1,1;P3:;P4:;P5:,4 4 4 4 4,2 2 2 2 ,11,02:57
1553151197641,,2,1,1553153197917,0,Clear path,,P0:;P1:;P2:;P3:;P4:;P5:,4 4 4 4 4,  ,25,02:56
1553151197641,,2,1,1553153200962,0,Motivation: aa,,P0:;P1:;P2:;P3:;P4:;P5:,4 4 4 4 4, ,25,02:53
1553151197641,,3,2,1553153200999,0,Starting new game. Result current game: Correct,1 1,P0:;P1:1,1;P2:;P3:;P4:;P5:,4 4 4 ,2 2 ,83,02:53


1553151197641,,3,0,1553153208646,0,Read new file,,P0:;P1:;P2:;P3:;P4:;P5:,-,-,NaN,undefined:undefined
1553151197641,,3,0,1553153229125,0,Motivation: aa,1 1,P0:;P1:1,1;P2:;P3:;P4:;P5:,4 4 4 ,2 2 ,83,02:41
1553151197641,,2,1,1553153229159,0,Starting new game. Result current game: Incorrect,1 1 1 1,P0:;P1:1,1;P2:1,1;P3:;P4:;P5:,4 4 4 4 4,2 2 2 2 ,11,02:41


1553151197641,,2,0,1553153628495,0,Read new file,,P0:;P1:;P2:;P3:;P4:;P5:,-,-,NaN,undefined:undefined
1553151197641,,2,0,1553153634941,0,Clear path,,P0:;P1:;P2:;P3:;P4:;P5:,4 4 4 4 4,  ,25,02:57
1553151197641,,2,0,1553153636350,0,Denied adding cell 2-3-false,,P0:;P1:;P2:;P3:;P4:;P5:,4 4 4 4 4, ,25,02:55
1553151197641,,2,0,1553153638695,0,ChipRequest;From;1;Colour;2;ReqNrOfChips;1;Success;true,,P0:;P1:;P2:;P3:;P4:;P5:,4 4 4 4 4, ,25,02:53
1553151197641,,2,0,1553153639123,0,ChipRequest;From;1;Colour;2;ReqNrOfChips;2;Success;true,1,P0:;P1:1;P2:;P3:;P4:;P5:,4 4 4 4 4, ,-51,02:52
1553151197641,,2,0,1553153640137,0,ChipRequest;From;2;Colour;2;ReqNrOfChips;1;Success;true,1 1,P0:;P1:1,1;P2:;P3:;P4:;P5:,4 4 4 4 4, ,-57,02:51
1553151197641,,2,0,1553153640337,0,ChipRequest;From;2;Colour;2;ReqNrOfChips;2;Success;true,1 1 1,P0:;P1:1,1;P2:1;P3:;P4:;P5:,4 4 4 4 4, ,-133,02:51
1553151197641,,2,0,1553153641891,0,Added cell 2-3-false,1 1 1 1,P0:;P1:1,1;P2:1,1;P3:;P4:;P5:,4 4 4 4 4, 2 ,-139,02:50
1553151197641,,2,0,1553153642443,0,Added cell 2-2-false,1 1 1 1,P0:;P1:1,1;P2:1,1;P3:;P4:;P5:,4 4 4 4 4, 2 2 ,-115,02:49
1553151197641,,2,0,1553153643028,0,Added cell 2-1-false,1 1 1 1,P0:;P1:1,1;P2:1,1;P3:;P4:;P5:,4 4 4 4 4, 2 2 2 ,-115,02:48
